title,link,abstract
AI-Aided Integrated Terrestrial and Non-Terrestrial 6G Solutions for Sustainable Maritime Networking,/doi/10.1109/MNET.104.2100351,"The maritime industry is experiencing a technological revolution that affects shipbuilding, operation of both seagoing and inland vessels, cargo management, and working practices in harbors. This ongoing transformation is driven by the ambition to make the ecosystem more sustainable and cost-efficient. Digitalization and automation help achieve these goals by transforming shipping and cruising into a much more cost- and energy-efficient and decarbonized industry segment. The key enablers in these processes are always-available connectivity and content delivery services, which can not only aid shipping companies in improving their operational efficiency and reducing carbon emissions, but also contribute to enhanced crew welfare and passenger experience. Due to recent advancements in integrating high-capacity and ultra-reliable terrestrial and non-terrestrial networking technologies, ubiquitous maritime connectivity is becoming a reality. To cope with the increased complexity of managing these integrated systems, this article advocates the use of artificial intelligence and machine-learning-based approaches to meet the service requirements and energy efficiency targets in various maritime communications scenarios."
Implementation of Digitalized Technologies for Fashion Industry 4.0: Opportunities and Challenges,/doi/10.1155/2022/7523246,"The Sustainable Development Goals of the United Nations prioritize sustainability by 2030. The fashion industry is one most substantial manufacturing industries that generate an economy of 3 trillion dollars and contributes to 2% of the world’s gross domestic product. In addition to this, the fashion industry must focus on social and environmental concerns, where it should create fashionable products to promote sustainable consumption and production. Sustainable consumption and production can be achieved with the establishment of resilient infrastructure with innovation. The resilient infrastructure with innovation is realized by the integration of digital technologies such as the Internet of Things (IoT), artificial intelligence (AI), blockchain, augmented reality (AR), and virtual reality (VR). With this motivation, this study explored the different studies that implemented these technologies in the fashion industry for smart cloth (health), supply chain, circular economy, dress recommendation system, fashion trend forecasting, health prediction, and virtual and augmented based shopping experience. Along with the progress of these technologies in the fashion industry, the study also discussed limitations and provided recommendations such as wide adoption of blockchain in fashion supply chain; advancement in energy storage for smart cloth; integration of IoT, AI, and edge computing; and smart clothing-based framework for rescue operation for future enhancement."
Readiness Status of Artificial Intelligence Applications on Electric Vehicles: A mini global review and analysis using the J-TRA method,/doi/10.1145/3557738.3557848,"
The transportation sector is a significant contributor to global greenhouse gas (GHG) emissions. It is estimated that replacing fossil fuel-based vehicles with electric vehicles (EVs) powered by sustainable and renewable energy could contribute to approximately 21% of emission avoidance by 2050. To improve the efficiency of EV operation, various artificial intelligence (AI) technologies have been applied. Examples include charging system optimization, self-driving car technology, and traffic control technology. To understand the current readiness status of those technologies applications, a small database of AI use in EVs that is in practice globally is constructed. There are 23 locations of prototype projects identified. The projects are categorized by the AI type, developer type, size of operation, and readiness status. Readiness status is analysed with the Japan Technology Readiness Assessment (J-TRA) methodology. There are seven analysed parameters: 1) Market, 2) Technology development, 3) System Integration, 4) Sustainability Verification, 5) Safety, 6) Commercialization and 7) Cost and Risk. The results show that while there is a promising market, steady progress in technological development, and verified environmental benefits, more work is needed to ensure safety and integration with the current systems before the technology can reach higher readiness levels of commercialization, cost, and risk-coping mechanisms.
"
Biohybrid systems for environmental intelligence on living plants: WatchPlant project,/doi/10.1145/3462203.3475885,"
New challenges such as climate change and sustainability arise in society influencing not only environmental issues but human's health directly. To face these new challenges IT technologies and their application to environmental intelligent monitoring become into a powerful tool to set new policies and blueprints to contribute to social good. In the new H2020 project, WatchPlant will provide new tools for environmental intelligence monitoring by the use of plants as ""well-being"" sensors of the environment they inhabit. This will be possible by equipping plants with a net of communicated wireless self-powered sensors, coupled with artificial intelligence (AI) to become plants into ""biohybrid organisms"" to test exposure-effects links between plant and the environment. It will become plants into a new tool to be aware of the environment status in a very early stage towards in-situ monitoring. Additionally, the system is devoted to be sustainable and energy-efficient thanks to the use of clean energy sources such as solar cells and a enzymatic biofuel cell (BFC) together with its self-deployment, self-awareness, adaptation, artificial evolution and the AI capabilities. In this concept paper, WatchPlant will envision how to face this challenge by joining interdisciplinary efforts to access the plant sap for energy harvesting and sensing purposes and become plants into ""biohybrid organisms"" to benefit social good in terms of environmental monitoring in urban scenarios.
"
"Application of artificial intelligence to wind power generation: modelling, control and fault detection",/doi/10.1504/ijista.2020.108083,"Power converters play a key-role in the grid-integration of wind power generation and as any physical device, they are prone to mal function and failure. There is, therefore, a need for converter health monitoring and fault detection to ensure a reliable and sustainable operation of the wind turbine. This paper presents different artificial intelligence-based fault detection using fuzzy and neuro-fuzzy techniques. The proposed methods are designed for the detection of one or two open-circuit fault in the power switches of the rotor side converter (RSC) of a doubly-fed induction generator (DFIG) wind energy conversion system (WECS). In the proposed detection method only the average values of the three-phase rotor current are used to identify the faulty switch. Alongside these condition monitoring strategies, the paper also present two fuzzy logic-based controllers for the regulation of the real and reactive power flow between the grid and the converter. The performances of the controllers are evaluated under different operating conditions of the power system and the reliability, feasibility and the effectiveness of the proposed fault detection have been verified under various open-switch fault conditions."
Smart DC: An AI and Digital Twin-based Energy-Saving Solution for Data Centers,/doi/10.1109/NOMS54207.2022.9789853,"With the rapid growth of mobile internet, Internet of Things (IoT), and cloud computing, the demand for data services has arisen sharply. As the core data service infrastructure, the number of data centers (DCs) has surged and led to higher energy consumption, which is not conducive to energy conservation, emission reduction, and sustainable development. In this paper, we proposed an energy-saving solution based on Artificial Intelligence (AI) and digital twin in DC scenarios, called Smart DC. The proposed solution can reduce DCs' energy consumption by optimizing air distribution and reducing cooling redundancy. Specifically, the digital twin model in this solution is used to verify and optimize AI strategies, and solve the problem of insufficient data in physical data center. Data for AI training and information mining is limited because the environment in the DCs change little. Moreover, in order to ensure that the DCs operate at a safe temperature, the adjustment of parameters should be conservative, so there is still room for cooling redundancy. We combined digital twin and AI, exploring the temperature rise boundary in the digital DCs and mine more data pairs, which has proven to increase the robustness of the AI model and achieve better energy-saving effect. The simulation and experiment results show that the proposed solution can ensure safe and efficient operation and keep the energy-saving rate of the cooling system to reach 41.07%."
"Bidirectional Green Promotion of 6G and AI: Architecture, Solutions, and Platform",/doi/10.1109/MNET.101.2100285,"The exponential growth of mobile devices has led to an explosion of network traffic in various fields, and application services have also emerged bloomingly in the Internet of Everything era. However, existing networks are not sufficiently intelligent to support rapid dynamic changes in topologies. Simultaneously, it is challenging to coordinate end-edge-cloud communication and computing. and thus green, energy-efficient, and sustainable development cannot be achieved. As a result, experts and scholars have paid attention to the future 6th generation (6G) technology. In response to the above challenges, this article explores artificial intelligence (AI) methods to integrate with 6G to realize the two-way promotion of AI and 6G. Ubiquitous AI will take root in 6G. Likewise, 6G will support new AI applications. We propose a green architecture for air-space-ground-sea integrated networks, oriented to all scenarios. Then, to integrate communication and computing, we put forward green solutions for network perception of radio map and traffic map to advance AI technologies and realize green fusion efficiently. Second, we propose a green wireless management platform based on KubeEdge Wireless, which containerizes nodes and expands the wireless connections to realize joint scheduling and orchestration of resources. Finally, we outline some open research topics and potential solutions/technologies for the two-way promotion of AI and 6G in the future."
Fusion-Plasma Response Modeling through Neural Network Machine Learning,/doi/10.5555/3580523.3580562,"A neural network is a system with interconnected nodes called 'neurons,' which communicate an output by processing it through an activation function. It is based on the human brain, which means it trains itself to reduce errors. The objective of this project was to model efficient temperatures for nuclear fusion reactions to occur for maximum energy output. Nuclear fusion is a theoretical concept today but with the research done, a path to making it experimental can be paved. The neural network was developed through Anaconda Distribution and uses the software Spyder to code in Python. The source of the output is an activation function, which in this case was Te = (105)(Ip0.85)(P0.3)(ne0.61), where Te represents the temperature of the electrons. The actual output of the function is 4.19x10−5 eV to 4.19x10−4 eV and represents the value the neural network tried to predict. After being run for 1000 epochs, the loss function of the neural network was measured. The loss function measured how far the predicted values were off regarding the actual output. The decrease in loss function signified a negative trend meaning the accuracy of the outputs increased. This research has a great societal impact because it will allow the world to develop clean energy. Other impacts include the development of artificial intelligence and an efficient way to find a way to clean and sustainable energy."
An IIoT-driven and AI-enabled framework for smart manufacturing system based on three-terminal collaborative platform,/doi/10.1016/j.aei.2021.101370,"AbstractSmart manufacturing has great potential in the development of network collaboration, mass personalised customisation, sustainability and flexibility. Customised production can better meet the dynamic user needs, and network collaboration can significantly improve production efficiency. Industrial internet of things (IIoT) and artificial intelligence (AI) have penetrated the manufacturing environment, improving production efficiency and facilitating customised and collaborative production. However, these technologies are isolated and dispersed in the applications of machine design and manufacturing processes. It is a challenge to integrate AI and IIoT technologies based on the platform, to develop autonomous connect manufacturing machines (ACMMs), matching with smart manufacturing and to facilitate the smart manufacturing services (SMSs) from the overall product life cycle. This paper firstly proposes a three-terminal collaborative platform (TTCP) consisting of cloud servers, embedded controllers and mobile terminals to integrate AI and IIoT technologies for the ACMM design. Then, based on the ACMMs, a framework for SMS to generate more IIoT-driven and AI-enabled services is presented. Finally, as an illustrative case, a more autonomous engraving machine and a smart manufacturing scenario are designed through the above-mentioned method. This case implements basic engraving functions along with AI-enabled automatic detection of broken tool service for collaborative production, remote human-machine interface service for customised production and network collaboration, and energy consumption analysis service for production optimisation. The systematic method proposed can provide some inspirations for the manufacturing industry to generate SMSs and facilitate the optimisation production and customised and collaborative production."
ReLeDP: Reinforcement-Learning-Assisted Dynamic Pricing for Wireless Smart Grid,/doi/10.1109/MWC.011.2000431,"The smart grid must ensure that power providers can obtain substantial benefits by selling energy, while at the same time, they need to consider the cost of consumers. To realize this win-win situation, the smart grid relies on dynamic pricing mechanisms. However, most of the existing dynamic pricing schemes are based on artificial objective rules or conventional models, which cannot ensure the desired effectiveness. Thus, we apply reinforcement learning to model the supply-demand relationship between power providers and consumers in a smart grid. The dynamic pricing problem of the smart grid is modeled as a discrete Markov decision process, and the decision process is solved by Q-learning. Now, the success of any intelligent dynamic pricing scheme relies on timely data transmission. However, the scale and speed of data generation can create several network bottlenecks that can further reduce the performance of any dynamic pricing scheme. Hence, to overcome this challenge, we have proposed an artificial-intelligence-based adaptive network architecture that adopts software-defined networking. In this architecture, we have used a self-organized map-based traffic classification approach followed by a dynamic virtual network embedding mechanism. We demonstrate the effectiveness of the dynamic pricing strategy supported through adaptive network architecture based on various performance indicators. The outcomes suggest that the proposed strategy is of great significance to realize the sustainability of power energy in the future. Lastly, we discuss various implementation challenges and future directions before concluding the article."
Prediction of power of a photovoltaic system in height using hybrid models of Shinkrage regularization with RFE and SFS,/doi/10.1145/3503047.3503132,"
Today is clean and renewable energy systems are attractive for the various applications that use non-renewable energy, as they provide better performance as well as a low long-term cost of electrical energy consumption. The analysis of these systems using artificial intelligence algorithms helps to improve sustainability and to produce energy efficiently. In this research, a photovoltaic system was analyzed with multiparametric regression models using step-by-step selection techniques such as RFE and SFS adding Shinkrage regularization, thus proposing a hybrid model for the analysis of the 14 independent variables used in this study. The division of the data by cross-validation was 80% for training and 20% for testing, seeds were applied in the randomization of data to obtain a better performance obtaining seed of 8849. The proposed hybrid models RFE-Ridge-Bayesian, RFE -Lasso, and RFE-Ridge discarded the variables: Total energy ',' Daily energy 'and' Irradiance ', while for the proposed hybrid models SFS-Ridge-Bayesian, SFS-Lasso, and SFS-Ridge eliminated:' Frequency ',' Energy daily 'and' Irradiance '. The optimal hyperparameters for the Ridge and Lasso models were also calculated, obtaining alpha values ​​of 1.538 and 0.01 respectively. To validate all the proposed hybrid models, the analysis of linearity, normality of the error terms, non-autocorrelation of the error terms, and homoscedasticity was performed, all models satisfying said validation. The variable to predict with an accuracy of 99.97% in all cases was the active power.
"
Intelligent energy management using data mining techniques at Bosch Car Multimedia Portugal facilities,/doi/10.1016/j.procs.2022.03.065,"AbstractThe fusion of emerged technologies such as Artificial Intelligence, cloud computing, big data, and the Internet of Things in manufacturing has pioneered this industry to meet the fourth stage of the industrial revolution (industry 4.0). One major approach to keeping this sector sustainable and productive is intelligent energy demand planning. Monitoring and controlling the consumption of energy under industry 4.0, directly results in minimizing the cost of operation and maximizing efficiency. To advance the research on the adoption of industry 4.0, this study examines CRISP-DM methodology to project data mining approach over data from 2020 to 2021 which was collected from industrial sensors to predict/forecast future electrical consumption at Bosch car multimedia facilities located at Braga, Portugal. Moreover, the influence of indicators such as humidity and temperature on electrical energy consumption was investigated. This study employed five promising regression algorithms and FaceBook prophet (FB prophet) to apply over data belonging to two HVAC (heating, ventilation, and air conditioning) sensors (E333, 3260). Results indicate Random Forest (RF) algorithms as a potential regression approach for prediction and the outcome of FB prophet to forecast the demand of future usage of electrical energy associated with HVAC presented. Based on that, it was concluded that predicting the usage of electrical energy for both data points requires time series techniques. Where “timestamp” was identified as the most effective feature to predict consume of electrical energy by regression technique (RF). The result of this study was integrated with Intelligent Industrial Management System (IIMS) at Bosch Portugal."
Reprint of: Triboelectric nanogenerator-based wearable electronic devices and systems: Toward informatization and intelligence,/doi/10.1016/j.dsp.2022.103570,"Graphical abstractHighlights •Applications and optimal design of TENG-based wearable devices are summarized.•Signal processing methods are investigated for information mining of output signals.•Challenges and routes on “fully self-powered wearable microsystem” are discussed. AbstractNowadays, wearable electronic devices with rich functions have significantly facilitated individual combat in the military and daily lives of people. To achieve implanting and sustainable wearable electronic systems, it is necessary to develop self-powered sensors utilizing environmental energy harvesting with superior mechanical stretchability and flexibility. Triboelectric nanogenerators (TENGs) can capture the low-frequency mechanical energy in human motion and convert it into electricity, which is expected to be a potential solution for this urgent need. In this review, based on advanced applications, the rich functions of TENG-based wearable devices are thoroughly discussed, including human body perception and human-machine interaction, personnel identification, as well as generation and recognition of coded information. Then, we elaborate on three crucial strategies for achieving an optimal design of TENG-based wearable devices, including selection and optimization of flexible materials, structural design and optimization, and synergistic information acquisition using multiple sensors. The representative signal processing methods are investigated to exploit the potential information behind the output signals, including basic qualitative waveform features and quantization thresholds, anti-interference processing and joint processing of multiple signals, and implementation of complex functions based on artificial intelligence. The review concludes with an overview of the remaining key challenges and potential technologies that can achieve the ultimate goal of a “fully self-powered wearable microsystem”."
"Towards green Internet of Things (IoT) for a sustainable future in Gulf Cooperation Council countries: current practices, challenges and future prospective",/doi/10.1007/s11276-022-03133-3,"AbstractThe proliferation of devices connected via the Internet of Things (IoT) leads to high energy consumption, e-waste production, and ultimately, additional extra carbon emissions. To maximize the benefits and reduce the detrimental impact of IoT on the environment, the concept of green IoT (GIoT) is presented, which can fulfill the need for a smart and sustainable world. This study aims to investigate the current practices, challenges, and policies related to the implementation of GIoT in Gulf Cooperation Council (GCC) countries (Saudi Arabia, United Arab Emirates (UAE), Qatar, Kuwait, Oman, and Bahrain). GCC countries are placed in the top 14 per capita carbon dioxide (CO2) emissions in the world. This study pioneers discussing the GIoT through the GCC perspective. Therefore, this study reviews the threat of e-waste to the environment and counteract strategies of GCC nations. The impact of living standards in GCC countries on embodied energy and obsolescence overheads were highlighted. This study provides insights into economic diversification plans laid out by GCC countries in their national vision and moving away from dependence on hydrocarbon reserves. The renewable energy (RE) opportunities available in the context of smart city development and GIoT deployment were evaluated. Power consumptions of computing servers at data centers, sensor nodes, and machine-to-machine (M2M) communications were discussed. Integration of artificial intelligence in distributed computing environments was also studied. GCC countries lag in the network readiness index but rank higher on information and communications technology usage (ICT), individual skills, and access to ICT. GCC countries are also making steady progress in building the best international practices and in leveraging opportunities to transform digital government models."
Joint Computation Offloading and Resource Allocation Under Task-Overflowed Situations in Mobile-Edge Computing,/doi/10.1109/TNSM.2021.3135389,"With the rapid development of Artificial Intelligence (AI) and Internet of Things (IoT), we have to perform increasingly more resource-hungry and compute-intensive applications on IoT devices, where the available computing resources are insufficient. With the assistance of Mobile Edge Computing (MEC), offloading partial complex tasks from mobile devices to edge servers can achieve faster response time and lower energy consumption. However, it still suffers from finding the optimal offloading decision when the total amount of computations overflows the available computing resources in MEC systems. In this paper, we establish a multi-user and multi-task MEC model and design an offloading indicator, through which we analyze what the current environment belongs to. In the cases where the computational resources of devices are sufficient or partially sufficient, we utilize the relationship between the offloading indicator and the cost incurred by the tasks that are executed in the current workflow to find the optimal offloading decision. In the cases where the computation on local and edge are both insufficient, we propose a novel Offloading Algorithm based on K-means clustering and Genetic algorithm for solving Multiple knapsack problem (OAKGM), aiming not only to jointly optimize the time and energy incurred by the tasks that are executed in the current workflow, but also to penalize the overflowed computations so that the task pressure in the next workflow can be greatly reduced. In addition, a simplified Offloading Algorithm based on Multiple Knapsack Problem (OAMKP) is proposed to further cope with the environments with a large number of users or tasks. Experimental results demonstrate the effectiveness and superiority of the proposed algorithms when compared with several benchmark offloading algorithms, which can better exploit the computing capacities of IoT devices and the edge server, greatly avoid resource occupation in edge nodes and make sustainable MEC possible."
Nonlinear Integrated Fuzzy Modeling to Predict Dynamic Occupant Environment Comfort for Optimized Sustainability,/doi/10.1155/2022/4208945,"In the ever-evolving vibrant landscape of our times, it is crucial that a peaceful environment is ensured taking into account all the likely ecological parameters along with humidity and temperature while conserving energy. Thus, besides mechanical and electric control systems, it has become vital to ensure that artificial intelligence (AI) is assimilated and deployed into the systems so as to raise the well-being of the environment. By disseminating intelligence across the building by utilizing the new internet of things (IoT) technology, along with control formats, local open standard data, AI algorithms, and cloud-based predictive analytics, the heating, ventilation, and air conditioning (HVAC) mechanism renders the capability to acclimatize to use patterns, alterations in use patterns, and equipment breakdown. By tracing human activity coupled with analysis of noise, energy, and temperature in the building, its occupants and facility managers can obtain vital insights for planning, optimum use of space, and behavioral changes, in turn ensuring more content and safer inhabitants and considerably more efficient structures. Moreover, fuzzy modeling shows its applicability factor with the execution of human rationale and reasoning with if-then rules as attained from the system’s input-output info for model setup and training. Additionally, it presents advantages pertaining to predictive functions for tackling nonlinearity and uncertainty as well as studying the capability of the models recommended. Thus, the multi-dimensional model recommended in this study outlines a system architecture as an implementation methodology and how it harmonizes prevailing systems while offering comprehensive knowledge to HVAC systems for the accomplishment of lower energy consumption and inhabitant safety and well-being on the basis of the fuzzy modeling. With tolerance for CO2 discharges moving towards zero, the recommended multi-dimensional model provides substantial advantages for the HVAC sector for meeting the essential objectives while taking into account enhanced sustainability in vibrant and nonlinear environments for enhancing the accuracy and fairness of the assessment outcomes."
Petri net-based scheduling strategy and energy modeling for the cylinder block remanufacturing under uncertainty,/doi/10.1016/j.rcim.2019.03.004,"Highlights •Transition timed PN could simplify and clarify the modeling of remanufacturing.•The new rule in dynamic window search could improve the efficiency of A* algorithm.•The proposed heuristic would find optimal firing sequence while explore fewer nodes.•Cleaning process is the dominated contributor of the total energy consumption. AbstractScheduling has been extensively applied to remanufacturing for the organization of production activities, and it would directly influence the overall performance of the remanufacturing system. Since the conjunction of Petri net (PN) and artificial intelligence (AI) searching technique was demonstrated to be a promising approach to solve the scheduling problems in manufacturing systems, this study built a transition timed PN combined with heuristic A* algorithm to deal with the scheduling in remanufacturing. The PN was applied to the formulation of remanufacturing process, while the A* algorithm generated and searched for an optimal or near optimal feasible schedule through the reachability graph (RG). We took the high value-added cylinder block of engine as a research object to minimize the makespan of reprocessing a batch used components. This scheduling problem involved in batch and parallel processing machines, and the uncertain processing time and routes will complicate the scheduling problem. Three heuristics were designed to guide the search process through the RG in PN. To avoid state space explosion and select promising nodes, a new rule-based dynamic window was developed to improve the efficiency of the algorithm, and this rule was examined to outperform the conventional one. Under the determined scheduling strategy, the dynamic behavior of energy consumption rate during the processing time was simulated using PN tool, which would assist remanufacturers to develop potential strategies for energy efficiency improvement. Considering the uncertainty of processing time, the Monte Carlo simulation method was adopted to statistically analyze the distributions of makespan and total energy consumption, which would contribute to the comprehensive production scheduling and energy profile assessment for sustainable remanufacturing."
